股票代码,股票名称,行业,模型,当前标签,当前分数,风险调整后分数,PE,PB,股息率,ROE,FCF收益率,市值,资金信号,资金来源,金融模型状态,周期归一化状态,normalized PE,normalized FCF收益率,周期字段缺口,周期下一步必查,便宜原因,风险信号,数据缺口
000719.SZ,中原传媒,出版业,普通企业,待复核深研候选,30.5,30.5,9.12,1.01,4.89%,11.08%,12.80%,125.55亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息；FCF收益率较高,暂无明确量化风险摘要，但仍需按必查问题人工复核。,未发现基础字段缺失；仍需单股深研补证据链。
603558.SH,健盛集团,纺织,普通企业,待复核深研候选,29.0,29.0,9.57,1.78,4.84%,11.78%,8.59%,41.73亿元,未接入/无明显信号,无,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息；FCF收益率较高,暂无明确量化风险摘要，但仍需按必查问题人工复核。,未发现基础字段缺失；仍需单股深研补证据链。
601900.SH,南方传媒,出版业,普通企业,待复核深研候选,28.5,28.5,10.17,1.14,4.66%,12.81%,9.47%,104.07亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息；FCF收益率较高,暂无明确量化风险摘要，但仍需按必查问题人工复核。,未发现基础字段缺失；仍需单股深研补证据链。
603187.SH,海容冷链,机械基件,普通企业,待复核深研候选,26.0,26.0,12.46,1.13,4.39%,9.84%,7.66%,48.46亿元,未接入/无明显信号,无,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息；FCF收益率较高,暂无明确量化风险摘要，但仍需按必查问题人工复核。,未发现基础字段缺失；仍需单股深研补证据链。
603816.SH,顾家家居,家居用品,普通企业,待复核深研候选,26.0,26.0,12.22,1.95,5.25%,19.56%,9.92%,215.96亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；高股息；FCF收益率较高,暂无明确量化风险摘要，但仍需按必查问题人工复核。,未发现基础字段缺失；仍需单股深研补证据链。
600060.SH,海信视像,家用电器,普通企业,待复核深研候选,26.0,26.0,14.19,1.62,3.25%,10.47%,11.39%,353.52亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；FCF收益率较高,暂无明确量化风险摘要，但仍需按必查问题人工复核。,未发现基础字段缺失；仍需单股深研补证据链。
603444.SH,吉比特,互联网,普通企业,待复核深研候选,25.0,25.0,12.13,4.09,5.72%,30.09%,11.36%,245.93亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；高股息；FCF收益率较高,暂无明确量化风险摘要，但仍需按必查问题人工复核。,未发现基础字段缺失；仍需单股深研补证据链。
002588.SZ,史丹利,农药化肥,普通企业,待复核深研候选,24.5,24.5,9.50,1.31,3.52%,11.30%,5.76%,103.21亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；FCF收益率较高,暂无明确量化风险摘要，但仍需按必查问题人工复核。,未发现基础字段缺失；仍需单股深研补证据链。
002170.SZ,芭田股份,农药化肥,普通企业,待复核深研候选,24.5,24.5,11.26,2.82,6.20%,12.33%,11.56%,114.21亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；高股息；FCF收益率较高,暂无明确量化风险摘要，但仍需按必查问题人工复核。,未发现基础字段缺失；仍需单股深研补证据链。
600211.SH,西藏药业,生物制药,普通企业,待复核深研候选,24.5,24.5,12.39,3.07,4.70%,19.92%,8.25%,119.87亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；高股息；FCF收益率较高,暂无明确量化风险摘要，但仍需按必查问题人工复核。,未发现基础字段缺失；仍需单股深研补证据链。
601857.SH,中国石油,石油开采,周期公用事业,仅适合跟踪,21.0,21.0,11.72,1.14,4.64%,10.30%,6.46%,18540.03亿元,弱信号,策略ETF弱信号,非金融企业不适用,normalized PE 数据不足,数据不足,数据不足,normalized PE proxy:5年中有效年份少于3年,下一步重点复核：5 年利润中枢是否代表正常景气、当前利润是否处于周期高点、资本开支是否压低自由现金流、商品价格/产能/利用率是否支持盈利持续。,低PE；低PB；高股息；周期/类公用事业需用归一化利润复核,周期/类公用事业行业，当前PE可能不可直接外推；需行业模型复核：需复核油价周期、储量/产量、资本开支和成本曲线。；石油链需复核油价、储量/服务价格、资本开支和景气中枢。,周期/公用事业 normalized PE 与周期变量未接入
600219.SH,南山铝业,铝,周期公用事业,仅适合跟踪,19.0,19.0,13.37,1.08,9.04%,8.58%,6.42%,552.37亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,normalized PE 数据不足,数据不足,数据不足,normalized PE proxy:5年中有效年份少于3年,下一步重点复核：5 年利润中枢是否代表正常景气、当前利润是否处于周期高点、资本开支是否压低自由现金流、商品价格/产能/利用率是否支持盈利持续。,低PE；低PB；高股息；周期/类公用事业需用归一化利润复核,周期/类公用事业行业，当前PE可能不可直接外推；需行业模型复核：需复核铝价、电力成本、氧化铝成本和产能周期。；金属周期需复核商品价格、库存、成本曲线、产能约束和 normalized PE。,周期/公用事业 normalized PE 与周期变量未接入
601083.SH,锦江航运,水运,周期公用事业,仅适合跟踪,18.5,18.5,10.12,1.54,4.22%,21.49%,12.42%,149.60亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,normalized PE 数据不足,数据不足,数据不足,normalized PE proxy:5年中有效年份少于3年,下一步重点复核：5 年利润中枢是否代表正常景气、当前利润是否处于周期高点、资本开支是否压低自由现金流、商品价格/产能/利用率是否支持盈利持续。,低PE；低PB；高股息；周期/类公用事业需用归一化利润复核,周期/类公用事业行业，当前PE可能不可直接外推；需行业模型复核：需复核运价周期、船队供给和资本开支。；周期/类公用事业需复核商品周期、政策定价、资本开支和 normalized PE。,周期/公用事业 normalized PE 与周期变量未接入
600642.SH,申能股份,火力发电,周期公用事业,仅适合跟踪,18.0,18.0,12.56,1.25,4.62%,8.15%,7.63%,476.19亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,normalized PE 数据不足,数据不足,数据不足,normalized PE proxy:5年中有效年份少于3年,下一步重点复核：5 年利润中枢是否代表正常景气、当前利润是否处于周期高点、资本开支是否压低自由现金流、商品价格/产能/利用率是否支持盈利持续。,低PE；低PB；高股息；周期/类公用事业需用归一化利润复核,周期/类公用事业行业，当前PE可能不可直接外推；需行业模型复核：需复核煤电价差、容量电价、利用小时和政策定价。；周期/类公用事业需复核商品周期、政策定价、资本开支和 normalized PE。,周期/公用事业 normalized PE 与周期变量未接入
603689.SH,皖天然气,供气供热,周期公用事业,仅适合跟踪,18.0,18.0,12.05,1.08,4.47%,9.93%,-1.59%,40.75亿元,未接入/无明显信号,无,非金融企业不适用,normalized PE 数据不足,数据不足,数据不足,normalized PE proxy:5年中有效年份少于3年,下一步重点复核：5 年利润中枢是否代表正常景气、当前利润是否处于周期高点、资本开支是否压低自由现金流、商品价格/产能/利用率是否支持盈利持续。,低PE；低PB；高股息；周期/类公用事业需用归一化利润复核,周期/类公用事业行业，当前PE可能不可直接外推；需行业模型复核：需复核政策定价、资本开支、现金流稳定性和分红约束。；周期/类公用事业需复核商品周期、政策定价、资本开支和 normalized PE。,周期/公用事业 normalized PE 与周期变量未接入
600483.SH,福能股份,新型电力,周期公用事业,仅适合跟踪,18.0,18.0,11.30,1.16,3.30%,11.40%,4.90%,322.50亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,normalized PE 数据不足,数据不足,数据不足,normalized PE proxy:5年中有效年份少于3年,下一步重点复核：5 年利润中枢是否代表正常景气、当前利润是否处于周期高点、资本开支是否压低自由现金流、商品价格/产能/利用率是否支持盈利持续。,低PE；低PB；周期/类公用事业需用归一化利润复核,周期/类公用事业行业，当前PE可能不可直接外推；需行业模型复核：需复核政策定价、资本开支、现金流稳定性和分红约束。；火电/电力需复核煤价、电价机制、利用小时、资本开支和政策定价。,周期/公用事业 normalized PE 与周期变量未接入
600968.SH,海油发展,石油开采,周期公用事业,仅适合跟踪,18.0,18.0,10.09,1.31,3.46%,11.74%,7.52%,396.44亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,normalized PE 数据不足,数据不足,数据不足,normalized PE proxy:5年中有效年份少于3年,下一步重点复核：5 年利润中枢是否代表正常景气、当前利润是否处于周期高点、资本开支是否压低自由现金流、商品价格/产能/利用率是否支持盈利持续。,低PE；低PB；周期/类公用事业需用归一化利润复核,周期/类公用事业行业，当前PE可能不可直接外推；需行业模型复核：需复核油价周期、储量/产量、资本开支和成本曲线。；石油链需复核油价、储量/服务价格、资本开支和景气中枢。,周期/公用事业 normalized PE 与周期变量未接入
002267.SZ,陕天然气,供气供热,周期公用事业,仅适合跟踪,17.5,17.5,16.16,1.14,4.85%,9.00%,7.10%,80.18亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,normalized PE 数据不足,数据不足,数据不足,normalized PE proxy:5年中有效年份少于3年,下一步重点复核：5 年利润中枢是否代表正常景气、当前利润是否处于周期高点、资本开支是否压低自由现金流、商品价格/产能/利用率是否支持盈利持续。,低PB；高股息；周期/类公用事业需用归一化利润复核,周期/类公用事业行业，当前PE可能不可直接外推；需行业模型复核：需复核政策定价、资本开支、现金流稳定性和分红约束。；周期/类公用事业需复核商品周期、政策定价、资本开支和 normalized PE。,周期/公用事业 normalized PE 与周期变量未接入
000685.SZ,中山公用,水务,周期公用事业,仅适合跟踪,17.5,17.5,7.45,0.84,0.75%,8.10%,-4.94%,160.86亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,normalized PE 数据不足,数据不足,数据不足,normalized PE proxy:5年中有效年份少于3年,下一步重点复核：5 年利润中枢是否代表正常景气、当前利润是否处于周期高点、资本开支是否压低自由现金流、商品价格/产能/利用率是否支持盈利持续。,低PE；低PB；周期/类公用事业需用归一化利润复核,周期/类公用事业行业，当前PE可能不可直接外推；需行业模型复核：需复核政策定价、资本开支、现金流稳定性和分红约束。；周期/类公用事业需复核商品周期、政策定价、资本开支和 normalized PE。,周期/公用事业 normalized PE 与周期变量未接入
